NDF v9.6a 30Oct13 rev 17Jan14 run 01/07/2021 17:14:35 Filename: ndff3901.dat Chris Jeynes (HVEE 2MV Tandetron, Stephens Lab), University of Surrey Ion Beam Centre
batch ndf.spc                                                                       
str ag45au.str                                                                    
file 790069RAu.txt                                                                 
geo rbs.geo                                                                       
 channel data fit
    1 0.53000E+02 0.69572E+03
    2 0.27000E+02 0.65521E+03
    3 0.22000E+02 0.71967E+03
    4 0.10000E+02 0.73144E+03
    5 0.25000E+02 0.69049E+03
    6 0.20000E+02 0.70195E+03
    7 0.20000E+02 0.71405E+03
    8 0.12000E+02 0.72681E+03
    9 0.31000E+02 0.73939E+03
   10 0.17000E+02 0.75178E+03
   11 0.80000E+01 0.76386E+03
   12 0.80000E+01 0.77562E+03
   13 0.15000E+02 0.78719E+03
   14 0.11000E+02 0.79855E+03
   15 0.17000E+02 0.80951E+03
   16 0.14410E+04 0.82006E+03
   17 0.28770E+04 0.83040E+03
   18 0.27560E+04 0.84053E+03
   19 0.28740E+04 0.85035E+03
   20 0.28460E+04 0.85986E+03
   21 0.25840E+04 0.86916E+03
   22 0.26030E+04 0.87824E+03
   23 0.26960E+04 0.88696E+03
   24 0.26370E+04 0.89533E+03
   25 0.25100E+04 0.90349E+03
   26 0.25200E+04 0.91144E+03
   27 0.25650E+04 0.91893E+03
   28 0.26380E+04 0.92596E+03
   29 0.25550E+04 0.93279E+03
   30 0.24870E+04 0.93944E+03
   31 0.26240E+04 0.94619E+03
   32 0.26110E+04 0.95307E+03
   33 0.25580E+04 0.95977E+03
   34 0.24870E+04 0.96629E+03
   35 0.25260E+04 0.97242E+03
   36 0.25590E+04 0.97815E+03
   37 0.25550E+04 0.98373E+03
   38 0.25650E+04 0.98916E+03
   39 0.26030E+04 0.99448E+03
   40 0.25640E+04 0.99971E+03
   41 0.25970E+04 0.10048E+04
   42 0.25780E+04 0.10097E+04
   43 0.26150E+04 0.10146E+04
   44 0.25800E+04 0.10194E+04
   45 0.25450E+04 0.10241E+04
   46 0.25740E+04 0.10286E+04
   47 0.26270E+04 0.10328E+04
   48 0.26400E+04 0.10366E+04
   49 0.25510E+04 0.10403E+04
   50 0.26350E+04 0.10439E+04
   51 0.26700E+04 0.10475E+04
   52 0.27970E+04 0.10511E+04
   53 0.27640E+04 0.10546E+04
   54 0.26630E+04 0.10580E+04
   55 0.26210E+04 0.10616E+04
   56 0.27940E+04 0.10654E+04
   57 0.26520E+04 0.10691E+04
   58 0.27510E+04 0.10728E+04
   59 0.27030E+04 0.10763E+04
   60 0.27560E+04 0.10797E+04
   61 0.27570E+04 0.10831E+04
   62 0.26580E+04 0.10865E+04
   63 0.27080E+04 0.10897E+04
   64 0.28790E+04 0.10930E+04
   65 0.27380E+04 0.10962E+04
   66 0.27990E+04 0.10993E+04
   67 0.27400E+04 0.11027E+04
   68 0.29300E+04 0.11061E+04
   69 0.28440E+04 0.11095E+04
   70 0.27940E+04 0.11129E+04
   71 0.27190E+04 0.11160E+04
   72 0.28340E+04 0.11189E+04
   73 0.29220E+04 0.11217E+04
   74 0.27980E+04 0.11245E+04
   75 0.27950E+04 0.11277E+04
   76 0.29340E+04 0.11312E+04
   77 0.28720E+04 0.11347E+04
   78 0.28350E+04 0.11382E+04
   79 0.27370E+04 0.11416E+04
   80 0.28220E+04 0.11449E+04
   81 0.28330E+04 0.11482E+04
   82 0.27620E+04 0.11516E+04
   83 0.28640E+04 0.11547E+04
   84 0.28420E+04 0.11577E+04
   85 0.29620E+04 0.11607E+04
