NDF v9.6a 30Oct13 rev 17Jan14 run 01/07/2021 17:14:38 Filename: ndff4801.dat Chris Jeynes (HVEE 2MV Tandetron, Stephens Lab), University of Surrey Ion Beam Centre
batch ndf.spc                                                                       
str ag90au.str                                                                    
file 790069RAu.txt                                                                 
geo rbs.geo                                                                       
 channel data fit
    1 0.53000E+02 0.39361E+03
    2 0.27000E+02 0.34808E+03
    3 0.22000E+02 0.40760E+03
    4 0.10000E+02 0.41451E+03
    5 0.25000E+02 0.36879E+03
    6 0.20000E+02 0.37556E+03
    7 0.20000E+02 0.38308E+03
    8 0.12000E+02 0.39135E+03
    9 0.31000E+02 0.39953E+03
   10 0.17000E+02 0.40763E+03
   11 0.80000E+01 0.41552E+03
   12 0.80000E+01 0.42321E+03
   13 0.15000E+02 0.43080E+03
   14 0.11000E+02 0.43830E+03
   15 0.17000E+02 0.44550E+03
   16 0.14410E+04 0.45240E+03
   17 0.28770E+04 0.45921E+03
   18 0.27560E+04 0.46591E+03
   19 0.28740E+04 0.47242E+03
   20 0.28460E+04 0.47873E+03
   21 0.25840E+04 0.48493E+03
   22 0.26030E+04 0.49104E+03
   23 0.26960E+04 0.49689E+03
   24 0.26370E+04 0.50249E+03
   25 0.25100E+04 0.50799E+03
   26 0.25200E+04 0.51338E+03
   27 0.25650E+04 0.51842E+03
   28 0.26380E+04 0.52310E+03
   29 0.25550E+04 0.52768E+03
   30 0.24870E+04 0.53216E+03
   31 0.26240E+04 0.53685E+03
   32 0.26110E+04 0.54175E+03
   33 0.25580E+04 0.54656E+03
   34 0.24870E+04 0.55128E+03
   35 0.25260E+04 0.55569E+03
   36 0.25590E+04 0.55979E+03
   37 0.25550E+04 0.56381E+03
   38 0.25650E+04 0.56775E+03
   39 0.26030E+04 0.57165E+03
   40 0.25640E+04 0.57552E+03
   41 0.25970E+04 0.57932E+03
   42 0.25780E+04 0.58305E+03
   43 0.26150E+04 0.58675E+03
   44 0.25800E+04 0.59041E+03
   45 0.25450E+04 0.59402E+03
   46 0.25740E+04 0.59756E+03
   47 0.26270E+04 0.60077E+03
   48 0.26400E+04 0.60364E+03
   49 0.25510E+04 0.60646E+03
   50 0.26350E+04 0.60923E+03
   51 0.26700E+04 0.61200E+03
   52 0.27970E+04 0.61479E+03
   53 0.27640E+04 0.61753E+03
   54 0.26630E+04 0.62024E+03
   55 0.26210E+04 0.62314E+03
   56 0.27940E+04 0.62623E+03
   57 0.26520E+04 0.62929E+03
   58 0.27510E+04 0.63233E+03
   59 0.27030E+04 0.63524E+03
   60 0.27560E+04 0.63803E+03
   61 0.27570E+04 0.64079E+03
   62 0.26580E+04 0.64353E+03
   63 0.27080E+04 0.64622E+03
   64 0.28790E+04 0.64885E+03
   65 0.27380E+04 0.65146E+03
   66 0.27990E+04 0.65406E+03
   67 0.27400E+04 0.65678E+03
   68 0.29300E+04 0.65962E+03
   69 0.28440E+04 0.66245E+03
   70 0.27940E+04 0.66527E+03
   71 0.27190E+04 0.66779E+03
   72 0.28340E+04 0.67001E+03
   73 0.29220E+04 0.67222E+03
   74 0.27980E+04 0.67443E+03
   75 0.27950E+04 0.67696E+03
