NDF v9.6a 30Oct13 rev 17Jan14 run 01/07/2021 17:14:34 Filename: ndff3701.dat Chris Jeynes (HVEE 2MV Tandetron, Stephens Lab), University of Surrey Ion Beam Centre
batch ndf.spc                                                                       
str ag35au.str                                                                    
file 790069RAu.txt                                                                 
geo rbs.geo                                                                       
 channel data fit
    1 0.53000E+02 0.74214E+03
    2 0.27000E+02 0.70254E+03
    3 0.22000E+02 0.76794E+03
    4 0.10000E+02 0.78066E+03
    5 0.25000E+02 0.74070E+03
    6 0.20000E+02 0.75316E+03
    7 0.20000E+02 0.76631E+03
    8 0.12000E+02 0.78012E+03
    9 0.31000E+02 0.79378E+03
   10 0.17000E+02 0.80727E+03
   11 0.80000E+01 0.82047E+03
   12 0.80000E+01 0.83338E+03
   13 0.15000E+02 0.84611E+03
   14 0.11000E+02 0.85865E+03
   15 0.17000E+02 0.87079E+03
   16 0.14410E+04 0.88255E+03
   17 0.28770E+04 0.89410E+03
   18 0.27560E+04 0.90545E+03
   19 0.28740E+04 0.91650E+03
   20 0.28460E+04 0.92725E+03
   21 0.25840E+04 0.93779E+03
   22 0.26030E+04 0.94811E+03
   23 0.26960E+04 0.95808E+03
   24 0.26370E+04 0.96768E+03
   25 0.25100E+04 0.97707E+03
   26 0.25200E+04 0.98626E+03
   27 0.25650E+04 0.99496E+03
   28 0.26380E+04 0.10032E+04
   29 0.25550E+04 0.10112E+04
   30 0.24870E+04 0.10191E+04
   31 0.26240E+04 0.10270E+04
   32 0.26110E+04 0.10350E+04
   33 0.25580E+04 0.10428E+04
   34 0.24870E+04 0.10505E+04
   35 0.25260E+04 0.10577E+04
   36 0.25590E+04 0.10645E+04
   37 0.25550E+04 0.10711E+04
   38 0.25650E+04 0.10775E+04
   39 0.26030E+04 0.10838E+04
   40 0.25640E+04 0.10900E+04
   41 0.25970E+04 0.10960E+04
   42 0.25780E+04 0.11018E+04
   43 0.26150E+04 0.11076E+04
   44 0.25800E+04 0.11132E+04
   45 0.25450E+04 0.11186E+04
   46 0.25740E+04 0.11239E+04
   47 0.26270E+04 0.11288E+04
   48 0.26400E+04 0.11333E+04
   49 0.25510E+04 0.11377E+04
   50 0.26350E+04 0.11419E+04
   51 0.26700E+04 0.11461E+04
   52 0.27970E+04 0.11502E+04
   53 0.27640E+04 0.11543E+04
   54 0.26630E+04 0.11582E+04
   55 0.26210E+04 0.11623E+04
   56 0.27940E+04 0.11665E+04
   57 0.26520E+04 0.11706E+04
   58 0.27510E+04 0.11746E+04
   59 0.27030E+04 0.11785E+04
   60 0.27560E+04 0.11822E+04
   61 0.27570E+04 0.11859E+04
   62 0.26580E+04 0.11895E+04
   63 0.27080E+04 0.11930E+04
   64 0.28790E+04 0.11964E+04
   65 0.27380E+04 0.11998E+04
   66 0.27990E+04 0.12032E+04
   67 0.27400E+04 0.12066E+04
   68 0.29300E+04 0.12102E+04
   69 0.28440E+04 0.12137E+04
   70 0.27940E+04 0.12172E+04
   71 0.27190E+04 0.12204E+04
   72 0.28340E+04 0.12233E+04
   73 0.29220E+04 0.12261E+04
   74 0.27980E+04 0.12290E+04
   75 0.27950E+04 0.12321E+04
   76 0.29340E+04 0.12356E+04
   77 0.28720E+04 0.12391E+04
   78 0.28350E+04 0.12426E+04
   79 0.27370E+04 0.12460E+04
   80 0.28220E+04 0.12493E+04
   81 0.28330E+04 0.12525E+04
   82 0.27620E+04 0.12558E+04
   83 0.28640E+04 0.12589E+04
   84 0.28420E+04 0.12619E+04
   85 0.29620E+04 0.12648E+04
   86 0.29460E+04 0.12678E+04
   87 0.27890E+04 0.12710E+04
   88 0.28790E+04 0.12745E+04
   89 0.28310E+04 0.12780E+04
   90 0.28610E+04 0.12816E+04
   91 0.28990E+04 0.12848E+04
   92 0.29090E+04 0.12879E+04
   93 0.29340E+04 0.12910E+04
   94 0.29270E+04 0.12941E+04
   95 0.28230E+04 0.12972E+04
   96 0.30310E+04 0.13003E+04
   97 0.29660E+04 0.13035E+04
   98 0.29020E+04 0.13066E+04
   99 0.28880E+04 0.13099E+04
  100 0.29960E+04 0.13131E+04
  101 0.30260E+04 0.13164E+04
  102 0.29420E+04 0.13197E+04
  103 0.28600E+04 0.13231E+04
  104 0.30450E+04 0.13268E+04
  105 0.29830E+04 0.13304E+04
  106 0.28110E+04 0.13341E+04
  107 0.28860E+04 0.13376E+04
  108 0.30760E+04 0.13409E+04
  109 0.28780E+04 0.13443E+04
  110 0.29970E+04 0.13477E+04
  111 0.28420E+04 0.13511E+04
  112 0.30780E+04 0.13545E+04
  113 0.29460E+04 0.13578E+04
  114 0.29090E+04 0.13612E+04
  115 0.29030E+04 0.13645E+04
  116 0.30850E+04 0.13677E+04
  117 0.29870E+04 0.13709E+04
  118 0.28380E+04 0.13741E+04
  119 0.30530E+04 0.13774E+04
  120 0.30800E+04 0.13808E+04
  121 0.29600E+04 0.13842E+04
  122 0.28960E+04 0.13876E+04
  123 0.29350E+04 0.13908E+04
  124 0.30200E+04 0.13939E+04
  125 0.30230E+04 0.13969E+04
  126 0.29900E+04 0.13999E+04
  127 0.29740E+04 0.14030E+04
  128 0.30040E+04 0.14063E+04
  129 0.30110E+04 0.14095E+04
  130 0.30270E+04 0.14127E+04
  131 0.29010E+04 0.14160E+04
  132 0.30870E+04 0.14195E+04
  133 0.29990E+04 0.14229E+04
  134 0.28510E+04 0.14263E+04
  135 0.29180E+04 0.14297E+04
  136 0.30730E+04 0.14331E+04
  137 0.28670E+04 0.14365E+04
  138 0.29090E+04 0.14399E+04
  139 0.28700E+04 0.14426E+04
  140 0.29600E+04 0.14448E+04
  141 0.30430E+04 0.14470E+04
  142 0.29890E+04 0.14492E+04
  143 0.29460E+04 0.14517E+04
  144 0.31220E+04 0.14547E+04
  145 0.30330E+04 0.14576E+04
  146 0.29590E+04 0.14605E+04
  147 0.29260E+04 0.14636E+04
  148 0.31140E+04 0.14670E+04
  149 0.29790E+04 0.14704E+04
  150 0.29510E+04 0.14738E+04
  151 0.28560E+04 0.14767E+04
  152 0.28430E+04 0.14791E+04
  153 0.29100E+04 0.14816E+04
  154 0.29470E+04 0.14840E+04
  155 0.29090E+04 0.14865E+04
  156 0.30090E+04 0.14891E+04
  157 0.29540E+04 0.14918E+04
  158 0.27880E+04 0.14944E+04
  159 0.29470E+04 0.14969E+04
  160 0.30690E+04 0.14995E+04
  161 0.28760E+04 0.15020E+04
  162 0.29380E+04 0.15046E+04
  163 0.28960E+04 0.15071E+04
  164 0.30230E+04 0.15095E+04
  165 0.28040E+04 0.15120E+04
  166 0.29740E+04 0.15144E+04
  167 0.28700E+04 0.15168E+04
  168 0.29600E+04 0.15191E+04
  169 0.29350E+04 0.15215E+04
  170 0.29110E+04 0.15238E+04
  171 0.28090E+04 0.15260E+04
  172 0.29300E+04 0.15283E+04
  173 0.29360E+04 0.15306E+04
  174 0.28480E+04 0.15328E+04
  175 0.28840E+04 0.15349E+04
  176 0.28930E+04 0.15369E+04
  177 0.28940E+04 0.15389E+04
  178 0.28930E+04 0.15408E+04
  179 0.28840E+04 0.15429E+04
  180 0.30180E+04 0.15450E+04
  181 0.29470E+04 0.15472E+04
  182 0.29030E+04 0.15493E+04
  183 0.28620E+04 0.15515E+04
  184 0.29560E+04 0.15537E+04
  185 0.28950E+04 0.15559E+04
  186 0.28240E+04 0.15581E+04
  187 0.28780E+04 0.15601E+04
  188 0.29360E+04 0.15617E+04
  189 0.29550E+04 0.15633E+04
  190 0.29020E+04 0.15649E+04
  191 0.28690E+04 0.15668E+04
  192 0.29440E+04 0.15690E+04
  193 0.27770E+04 0.15712E+04
  194 0.28850E+04 0.15734E+04
  195 0.27920E+04 0.15755E+04
  196 0.30170E+04 0.15775E+04
  197 0.27480E+04 0.15795E+04
  198 0.28490E+04 0.15816E+04
  199 0.27540E+04 0.15835E+04
  200 0.29550E+04 0.15854E+04
  201 0.27560E+04 0.15873E+04
  202 0.27180E+04 0.15892E+04
  203 0.27770E+04 0.15909E+04
  204 0.29410E+04 0.15926E+04
  205 0.27380E+04 0.15942E+04
  206 0.28740E+04 0.15958E+04
  207 0.27470E+04 0.15975E+04
  208 0.28620E+04 0.15991E+04
  209 0.28090E+04 0.16008E+04
  210 0.27730E+04 0.16024E+04
  211 0.27220E+04 0.16041E+04
  212 0.29160E+04 0.16059E+04
  213 0.27200E+04 0.16077E+04
  214 0.27540E+04 0.16095E+04
  215 0.27620E+04 0.16111E+04
  216 0.27800E+04 0.16124E+04
  217 0.27990E+04 0.16137E+04
  218 0.28120E+04 0.16150E+04
  219 0.27770E+04 0.16167E+04
  220 0.27670E+04 0.16187E+04
  221 0.26750E+04 0.16207E+04
  222 0.26820E+04 0.16227E+04
  223 0.26750E+04 0.16243E+04
  224 0.27830E+04 0.16256E+04
  225 0.26900E+04 0.16269E+04
  226 0.26720E+04 0.16282E+04
  227 0.27060E+04 0.16295E+04
  228 0.28440E+04 0.16308E+04
  229 0.27540E+04 0.16321E+04
  230 0.27000E+04 0.16334E+04
  231 0.26440E+04 0.16349E+04
  232 0.28940E+04 0.16364E+04
  233 0.27130E+04 0.16379E+04
  234 0.26610E+04 0.16394E+04
  235 0.27300E+04 0.16410E+04
  236 0.27690E+04 0.16425E+04
  237 0.26850E+04 0.16441E+04
  238 0.25860E+04 0.16456E+04
  239 0.26380E+04 0.16471E+04
  240 0.28260E+04 0.16486E+04
  241 0.26290E+04 0.16500E+04
  242 0.26100E+04 0.16515E+04
  243 0.27060E+04 0.16527E+04
  244 0.26860E+04 0.16536E+04
  245 0.27300E+04 0.16546E+04
  246 0.27990E+04 0.16555E+04
  247 0.25920E+04 0.16569E+04
  248 0.27390E+04 0.16586E+04
  249 0.26270E+04 0.16604E+04
  250 0.26760E+04 0.16621E+04
  251 0.25300E+04 0.16636E+04
  252 0.27410E+04 0.16648E+04
  253 0.26010E+04 0.16660E+04
  254 0.25590E+04 0.16672E+04
  255 0.27080E+04 0.16684E+04
  256 0.27240E+04 0.16696E+04
  257 0.26430E+04 0.16709E+04
  258 0.26010E+04 0.16721E+04
  259 0.26320E+04 0.16732E+04
  260 0.26810E+04 0.16744E+04
  261 0.27750E+04 0.16755E+04
  262 0.25920E+04 0.16766E+04
  263 0.25610E+04 0.16778E+04
  264 0.26770E+04 0.16791E+04
  265 0.26340E+04 0.16804E+04
  266 0.27430E+04 0.16817E+04
  267 0.25940E+04 0.16831E+04
  268 0.25730E+04 0.16845E+04
  269 0.25910E+04 0.16859E+04
  270 0.26240E+04 0.16873E+04
  271 0.25320E+04 0.16886E+04
  272 0.26270E+04 0.16899E+04
  273 0.25420E+04 0.16912E+04
  274 0.26080E+04 0.16924E+04
  275 0.25500E+04 0.16937E+04
  276 0.25590E+04 0.16950E+04
  277 0.25250E+04 0.16964E+04
  278 0.25380E+04 0.16977E+04
  279 0.24680E+04 0.16987E+04
  280 0.25700E+04 0.16996E+04
  281 0.24970E+04 0.17005E+04
  282 0.24930E+04 0.17013E+04
  283 0.25370E+04 0.17024E+04
  284 0.26510E+04 0.17037E+04
  285 0.25810E+04 0.17050E+04
  286 0.24140E+04 0.17063E+04
  287 0.25110E+04 0.17074E+04
  288 0.24880E+04 0.17082E+04
  289 0.25240E+04 0.17091E+04
  290 0.26020E+04 0.17099E+04
  291 0.24380E+04 0.17109E+04
  292 0.25360E+04 0.17121E+04
  293 0.24880E+04 0.17132E+04
  294 0.24560E+04 0.17144E+04
  295 0.24430E+04 0.17156E+04
  296 0.25770E+04 0.17167E+04
  297 0.24960E+04 0.17178E+04
  298 0.23760E+04 0.17189E+04
  299 0.24110E+04 0.17199E+04
  300 0.25700E+04 0.17209E+04
  301 0.24570E+04 0.17219E+04
  302 0.24280E+04 0.17228E+04
  303 0.24470E+04 0.17237E+04
  304 0.24470E+04 0.17244E+04
  305 0.24510E+04 0.17251E+04
  306 0.23910E+04 0.17259E+04
  307 0.24570E+04 0.17269E+04
  308 0.25700E+04 0.17283E+04
  309 0.24100E+04 0.17296E+04
  310 0.24000E+04 0.17309E+04
  311 0.22950E+04 0.17318E+04
  312 0.24530E+04 0.17323E+04
  313 0.25120E+04 0.17328E+04
  314 0.24100E+04 0.17333E+04
  315 0.23380E+04 0.17341E+04
  316 0.25220E+04 0.17352E+04
  317 0.24250E+04 0.17364E+04
  318 0.23560E+04 0.17375E+04
  319 0.23600E+04 0.17386E+04
  320 0.24490E+04 0.17395E+04
  321 0.23610E+04 0.17404E+04
